record,error,threshold,predicted,label,status
170,0.0063071259,0.0006202863,1,0,ANOMALY
171,0.0002803769,0.0006202863,0,0,NORMAL
172,0.0000421198,0.0006202863,0,0,NORMAL
173,0.0002184775,0.0006202863,0,0,NORMAL
174,0.0001183680,0.0006202863,0,0,NORMAL
175,0.0002691878,0.0006202863,0,0,NORMAL
176,0.0003252012,0.0006202863,0,0,NORMAL
177,0.0002168976,0.0006202863,0,0,NORMAL
178,0.0000036006,0.0006202863,0,0,NORMAL
179,0.0000223013,0.0006202863,0,0,NORMAL
180,0.0002859754,0.0006202863,0,0,NORMAL
181,0.0004489318,0.0006202863,0,0,NORMAL
182,0.0002465350,0.0006202863,0,0,NORMAL
183,0.0002522213,0.0006202863,0,0,NORMAL
184,0.0007014205,0.0006202863,1,0,ANOMALY
185,0.0000155893,0.0006202863,0,0,NORMAL
186,0.0000068111,0.0006202863,0,0,NORMAL
187,0.0001786703,0.0006202863,0,0,NORMAL
188,0.0001648174,0.0006202863,0,0,NORMAL
189,0.0003413722,0.0006202863,0,0,NORMAL
190,0.0004190464,0.0006202863,0,0,NORMAL
191,0.0002573920,0.0006202863,0,0,NORMAL
192,0.0002543382,0.0006202863,0,0,NORMAL
193,0.0002617704,0.0006202863,0,0,NORMAL
194,0.0003273902,0.0006202863,0,0,NORMAL
195,0.0002637188,0.0006202863,0,0,NORMAL
196,0.0002585328,0.0006202863,0,0,NORMAL
197,0.0002803692,0.0006202863,0,0,NORMAL
198,0.0002605930,0.0006202863,0,0,NORMAL
199,0.0002270343,0.0006202863,0,0,NORMAL
200,0.0012433190,0.0006202863,1,0,ANOMALY
201,0.0002579085,0.0006202863,0,0,NORMAL
202,0.0023767519,0.0006202863,1,0,ANOMALY
203,0.0002256152,0.0006202863,0,0,NORMAL
204,0.0033854672,0.0006202863,1,0,ANOMALY
205,0.0002620616,0.0006202863,0,0,NORMAL
206,0.0002547105,0.0006202863,0,0,NORMAL
207,0.0048932774,0.0006202863,1,0,ANOMALY
208,0.0002587519,0.0006202863,0,0,NORMAL
209,0.0077488328,0.0006202863,1,0,ANOMALY
210,0.0002546927,0.0006202863,0,0,NORMAL
211,0.0002537737,0.0006202863,0,0,NORMAL
212,0.0002589575,0.0006202863,0,0,NORMAL
213,0.0002655925,0.0006202863,0,0,NORMAL
214,0.0002589575,0.0006202863,0,0,NORMAL
215,0.0002215509,0.0006202863,0,0,NORMAL
216,0.0002564804,0.0006202863,0,0,NORMAL
217,0.0002552911,0.0006202863,0,0,NORMAL
218,0.0002858813,0.0006202863,0,0,NORMAL
219,0.0002571842,0.0006202863,0,0,NORMAL
220,0.0002584783,0.0006202863,0,0,NORMAL
221,0.0003900423,0.0006202863,0,0,NORMAL
222,0.0002535560,0.0006202863,0,0,NORMAL
223,0.0002551719,0.0006202863,0,0,NORMAL
224,0.0002598940,0.0006202863,0,0,NORMAL
225,0.0002521054,0.0006202863,0,0,NORMAL
226,0.0002266785,0.0006202863,0,0,NORMAL
227,0.0002272724,0.0006202863,0,0,NORMAL
228,0.0002550662,0.0006202863,0,0,NORMAL
229,0.0001400725,0.0006202863,0,0,NORMAL
230,0.0002587036,0.0006202863,0,0,NORMAL
231,0.0002579936,0.0006202863,0,0,NORMAL
232,0.0002616134,0.0006202863,0,0,NORMAL
233,0.0001685155,0.0006202863,0,0,NORMAL
234,0.0002616363,0.0006202863,0,0,NORMAL
235,0.0002254796,0.0006202863,0,0,NORMAL
236,0.0002682209,0.0006202863,0,0,NORMAL
237,0.0002635962,0.0006202863,0,0,NORMAL
238,0.0002285718,0.0006202863,0,0,NORMAL
239,0.0032907347,0.0006202863,1,0,ANOMALY
240,0.0002573223,0.0006202863,0,0,NORMAL
241,0.0002634133,0.0006202863,0,0,NORMAL
242,0.0082552077,0.0006202863,1,0,ANOMALY
243,0.0002642149,0.0006202863,0,0,NORMAL
244,0.0009719580,0.0006202863,1,0,ANOMALY
245,0.0002547627,0.0006202863,0,0,NORMAL
246,0.0002618475,0.0006202863,0,0,NORMAL
247,0.0011448677,0.0006202863,1,0,ANOMALY
248,0.0002572976,0.0006202863,0,0,NORMAL
249,0.0002597882,0.0006202863,0,0,NORMAL
250,0.0002058161,0.0006202863,0,0,NORMAL
251,0.0002627974,0.0006202863,0,0,NORMAL
252,0.0002226408,0.0006202863,0,0,NORMAL
253,0.0002222054,0.0006202863,0,0,NORMAL
254,0.0002616212,0.0006202863,0,0,NORMAL
255,0.0002548204,0.0006202863,0,0,NORMAL
256,0.0002657128,0.0006202863,0,0,NORMAL
257,0.0002222061,0.0006202863,0,0,NORMAL
258,0.0001889068,0.0006202863,0,0,NORMAL
259,0.0002165799,0.0006202863,0,0,NORMAL
260,0.0002563502,0.0006202863,0,0,NORMAL
261,0.0002415227,0.0006202863,0,0,NORMAL
262,0.0002279151,0.0006202863,0,0,NORMAL
263,0.0002617655,0.0006202863,0,0,NORMAL
264,0.0005490415,0.0006202863,0,0,NORMAL
265,0.0002596303,0.0006202863,0,0,NORMAL
266,0.0002268293,0.0006202863,0,0,NORMAL
267,0.0002048212,0.0006202863,0,0,NORMAL
268,0.0002562212,0.0006202863,0,0,NORMAL
269,0.0002615626,0.0006202863,0,0,NORMAL
270,0.0002581542,0.0006202863,0,0,NORMAL
271,0.0003259835,0.0006202863,0,0,NORMAL
272,0.0002613198,0.0006202863,0,0,NORMAL
273,0.0002565321,0.0006202863,0,0,NORMAL
274,0.0016938142,0.0006202863,1,0,ANOMALY
275,0.0002620182,0.0006202863,0,0,NORMAL
276,0.0175688130,0.0006202863,1,0,ANOMALY
277,0.0002306258,0.0006202863,0,0,NORMAL
278,0.0002261931,0.0006202863,0,0,NORMAL
279,0.0033094653,0.0006202863,1,0,ANOMALY
280,0.0002576652,0.0006202863,0,0,NORMAL
281,0.0002573223,0.0006202863,0,0,NORMAL
282,0.0009901328,0.0006202863,1,0,ANOMALY
283,0.0002561253,0.0006202863,0,0,NORMAL
284,0.0002561208,0.0006202863,0,0,NORMAL
285,0.0002055378,0.0006202863,0,0,NORMAL
286,0.0002621671,0.0006202863,0,0,NORMAL
287,0.0002588069,0.0006202863,0,0,NORMAL
288,0.0002567111,0.0006202863,0,0,NORMAL
289,0.0002663831,0.0006202863,0,0,NORMAL
290,0.0002552522,0.0006202863,0,0,NORMAL
291,0.0002578677,0.0006202863,0,0,NORMAL
292,0.0002579406,0.0006202863,0,0,NORMAL
293,0.0002567768,0.0006202863,0,0,NORMAL
294,0.0001846944,0.0006202863,0,0,NORMAL
295,0.0002556864,0.0006202863,0,0,NORMAL
296,0.0009469487,0.0006202863,1,0,ANOMALY
297,0.0002575320,0.0006202863,0,0,NORMAL
298,0.0001517232,0.0006202863,0,0,NORMAL
299,0.0002562534,0.0006202863,0,0,NORMAL
300,0.0002557172,0.0006202863,0,0,NORMAL
301,0.0001537778,0.0006202863,0,0,NORMAL
302,0.0002583157,0.0006202863,0,0,NORMAL
303,0.0002617075,0.0006202863,0,0,NORMAL
304,0.0002261391,0.0006202863,0,0,NORMAL
305,0.0002621092,0.0006202863,0,0,NORMAL
306,0.0002563179,0.0006202863,0,0,NORMAL
307,0.0002529941,0.0006202863,0,0,NORMAL
308,0.0002670279,0.0006202863,0,0,NORMAL
309,0.0002570474,0.0006202863,0,0,NORMAL
310,0.0002263006,0.0006202863,0,0,NORMAL
311,0.0002228119,0.0006202863,0,0,NORMAL
312,0.0002620610,0.0006202863,0,0,NORMAL
313,0.0002570474,0.0006202863,0,0,NORMAL
314,0.0003449778,0.0006202863,0,0,NORMAL
315,0.0002627533,0.0006202863,0,0,NORMAL
316,0.0001839783,0.0006202863,0,0,NORMAL
317,0.0002559331,0.0006202863,0,0,NORMAL
318,0.0002294679,0.0006202863,0,0,NORMAL
319,0.0001353398,0.0006202863,0,0,NORMAL
320,0.0002617043,0.0006202863,0,0,NORMAL
321,0.0030827575,0.0006202863,1,0,ANOMALY
322,0.0002583526,0.0006202863,0,0,NORMAL
323,0.0002566448,0.0006202863,0,0,NORMAL
324,0.0002053009,0.0006202863,0,0,NORMAL
325,0.0002614601,0.0006202863,0,0,NORMAL
326,0.0002615372,0.0006202863,0,0,NORMAL
327,0.0002595910,0.0006202863,0,0,NORMAL
328,0.0002291406,0.0006202863,0,0,NORMAL
329,0.0002578342,0.0006202863,0,0,NORMAL
330,0.0003240186,0.0006202863,0,0,NORMAL
331,0.0002572815,0.0006202863,0,0,NORMAL
332,0.0002595256,0.0006202863,0,0,NORMAL
333,0.0011046252,0.0006202863,1,0,ANOMALY
334,0.0002568447,0.0006202863,0,0,NORMAL
335,0.0052985974,0.0006202863,1,0,ANOMALY
336,0.0002559669,0.0006202863,0,0,NORMAL
337,0.0002569795,0.0006202863,0,0,NORMAL
338,0.0002980296,0.0006202863,0,0,NORMAL
339,0.0002295490,0.0006202863,0,0,NORMAL
340,0.0002677506,0.0006202863,0,0,NORMAL
341,0.0002584829,0.0006202863,0,0,NORMAL
342,0.0002616415,0.0006202863,0,0,NORMAL
343,0.0002059522,0.0006202863,0,0,NORMAL
344,0.0002623416,0.0006202863,0,0,NORMAL
345,0.0002570208,0.0006202863,0,0,NORMAL
346,0.0002236040,0.0006202863,0,0,NORMAL
347,0.0002570208,0.0006202863,0,0,NORMAL
348,0.0002622251,0.0006202863,0,0,NORMAL
349,0.0002861154,0.0006202863,0,0,NORMAL
350,0.0002620514,0.0006202863,0,0,NORMAL
351,0.0002654473,0.0006202863,0,0,NORMAL
352,0.0002642776,0.0006202863,0,0,NORMAL
353,0.0001408420,0.0006202863,0,0,NORMAL
354,0.0002545228,0.0006202863,0,0,NORMAL
355,0.0005152513,0.0006202863,0,0,NORMAL
356,0.0022826356,0.0006202863,1,0,ANOMALY
357,0.0002743905,0.0006202863,0,0,NORMAL
358,0.0006083007,0.0006202863,0,0,NORMAL
359,0.0037398731,0.0006202863,1,0,ANOMALY
360,0.0002474937,0.0006202863,0,0,NORMAL
361,0.0049628294,0.0006202863,1,0,ANOMALY
362,0.0102211505,0.0006202863,1,0,ANOMALY
363,0.0053989186,0.0006202863,1,0,ANOMALY
364,0.0058547140,0.0006202863,1,0,ANOMALY
365,0.0029989609,0.0006202863,1,0,ANOMALY
366,0.0002812778,0.0006202863,0,0,NORMAL
367,0.0014038624,0.0006202863,1,0,ANOMALY
368,0.0001538652,0.0006202863,0,0,NORMAL
369,0.0002160453,0.0006202863,0,0,NORMAL
370,0.0001576530,0.0006202863,0,0,NORMAL
371,0.0002747452,0.0006202863,0,0,NORMAL
372,0.0002402606,0.0006202863,0,0,NORMAL
373,0.0013463913,0.0006202863,1,0,ANOMALY
374,0.0013028752,0.0006202863,1,0,ANOMALY
375,0.0002208715,0.0006202863,0,0,NORMAL
376,0.0016361386,0.0006202863,1,0,ANOMALY
377,0.0003061613,0.0006202863,0,0,NORMAL
378,0.0002508268,0.0006202863,0,0,NORMAL
379,0.0029091427,0.0006202863,1,0,ANOMALY
380,0.0024081285,0.0006202863,1,0,ANOMALY
381,0.0002650318,0.0006202863,0,0,NORMAL
382,0.0001846015,0.0006202863,0,0,NORMAL
383,0.0002431165,0.0006202863,0,0,NORMAL
384,0.0002576379,0.0006202863,0,0,NORMAL
385,0.0002210163,0.0006202863,0,0,NORMAL
386,0.0002655006,0.0006202863,0,0,NORMAL
387,0.0004630738,0.0006202863,0,0,NORMAL
388,0.0001270238,0.0006202863,0,0,NORMAL
389,0.0001676171,0.0006202863,0,0,NORMAL
390,0.0001303850,0.0006202863,0,0,NORMAL
391,0.0002861884,0.0006202863,0,0,NORMAL
392,0.0002608103,0.0006202863,0,0,NORMAL
393,0.0002247386,0.0006202863,0,0,NORMAL
394,0.0002622298,0.0006202863,0,0,NORMAL
395,0.0002599930,0.0006202863,0,0,NORMAL
396,0.0002661068,0.0006202863,0,0,NORMAL
397,0.0001998959,0.0006202863,0,0,NORMAL
398,0.0001479096,0.0006202863,0,0,NORMAL
399,0.0006102895,0.0006202863,0,0,NORMAL
400,0.0005854391,0.0006202863,0,0,NORMAL
401,0.0001408399,0.0006202863,0,0,NORMAL
402,0.0001641569,0.0006202863,0,0,NORMAL
403,0.0006604135,0.0006202863,1,0,ANOMALY
404,0.0040757254,0.0006202863,1,0,ANOMALY
405,0.0002843061,0.0006202863,0,0,NORMAL
406,0.0001649082,0.0006202863,0,0,NORMAL
407,0.0002178768,0.0006202863,0,0,NORMAL
408,0.0002018470,0.0006202863,0,0,NORMAL
409,0.0002148923,0.0006202863,0,0,NORMAL
410,0.0056065113,0.0006202863,1,0,ANOMALY
411,0.0025704511,0.0006202863,1,0,ANOMALY
412,0.0035694498,0.0006202863,1,0,ANOMALY
413,0.0002209252,0.0006202863,0,0,NORMAL
414,0.0005900798,0.0006202863,0,0,NORMAL
415,0.0002576379,0.0006202863,0,0,NORMAL
416,0.0002239620,0.0006202863,0,0,NORMAL
417,0.0002373150,0.0006202863,0,0,NORMAL
418,0.0001648536,0.0006202863,0,0,NORMAL
419,0.0002176428,0.0006202863,0,0,NORMAL
420,0.0001509833,0.0006202863,0,0,NORMAL
421,0.0002211640,0.0006202863,0,0,NORMAL
422,0.0001727745,0.0006202863,0,0,NORMAL
423,0.0003895274,0.0006202863,0,0,NORMAL
424,0.0001402520,0.0006202863,0,0,NORMAL
425,0.0001404388,0.0006202863,0,0,NORMAL
426,0.0005981337,0.0006202863,0,0,NORMAL
427,0.0004679094,0.0006202863,0,0,NORMAL
428,0.0035155748,0.0006202863,1,0,ANOMALY
429,0.0058103448,0.0006202863,1,0,ANOMALY
430,0.0002184703,0.0006202863,0,0,NORMAL
431,0.0008972558,0.0006202863,1,0,ANOMALY
432,0.0038598230,0.0006202863,1,0,ANOMALY
433,0.0002338362,0.0006202863,0,0,NORMAL
434,0.0048951801,0.0006202863,1,0,ANOMALY
435,0.0005600553,0.0006202863,0,0,NORMAL
436,0.0062625636,0.0006202863,1,0,ANOMALY
437,0.0056528327,0.0006202863,1,0,ANOMALY
438,0.0129107319,0.0006202863,1,0,ANOMALY
439,0.0055688426,0.0006202863,1,0,ANOMALY
440,0.0234459713,0.0006202863,1,0,ANOMALY
441,0.0052540522,0.0006202863,1,0,ANOMALY
442,0.0054824785,0.0006202863,1,0,ANOMALY
443,0.0002800828,0.0006202863,0,0,NORMAL
444,0.0060701446,0.0006202863,1,0,ANOMALY
445,0.0060200823,0.0006202863,1,0,ANOMALY
446,0.0005162710,0.0006202863,0,0,NORMAL
447,0.0002208632,0.0006202863,0,0,NORMAL
448,0.0007025856,0.0006202863,1,0,ANOMALY
449,0.0002626106,0.0006202863,0,0,NORMAL
450,0.0010713926,0.0006202863,1,0,ANOMALY
451,0.0018439777,0.0006202863,1,0,ANOMALY
452,0.0001839638,0.0006202863,0,0,NORMAL
453,0.0001596334,0.0006202863,0,0,NORMAL
454,0.0001365463,0.0006202863,0,0,NORMAL
455,0.0002017516,0.0006202863,0,0,NORMAL
456,0.0001508154,0.0006202863,0,0,NORMAL
457,0.0002589622,0.0006202863,0,0,NORMAL
458,0.0002548076,0.0006202863,0,0,NORMAL
459,0.0001121988,0.0006202863,0,0,NORMAL
460,0.0005471912,0.0006202863,0,0,NORMAL
461,0.0020877135,0.0006202863,1,0,ANOMALY
462,0.0002935777,0.0006202863,0,0,NORMAL
463,0.0025130852,0.0006202863,1,0,ANOMALY
464,0.0021647740,0.0006202863,1,0,ANOMALY
465,0.0002241888,0.0006202863,0,0,NORMAL
466,0.0040282971,0.0006202863,1,0,ANOMALY
467,0.0001377447,0.0006202863,0,0,NORMAL
468,0.0002246189,0.0006202863,0,0,NORMAL
469,0.0001528454,0.0006202863,0,0,NORMAL
470,0.0002687412,0.0006202863,0,0,NORMAL
471,0.0002283861,0.0006202863,0,0,NORMAL
472,0.0001859421,0.0006202863,0,0,NORMAL
473,0.0002174782,0.0006202863,0,0,NORMAL
474,0.0001542456,0.0006202863,0,0,NORMAL
475,0.0002211736,0.0006202863,0,0,NORMAL
476,0.0001857246,0.0006202863,0,0,NORMAL
477,0.0002597882,0.0006202863,0,0,NORMAL
478,0.0002211191,0.0006202863,0,0,NORMAL
479,0.0003776413,0.0006202863,0,0,NORMAL
480,0.0007060020,0.0006202863,1,0,ANOMALY
481,0.0002395417,0.0006202863,0,0,NORMAL
482,0.0001831816,0.0006202863,0,0,NORMAL
483,0.0001777826,0.0006202863,0,0,NORMAL
484,0.0002042417,0.0006202863,0,0,NORMAL
485,0.0001608862,0.0006202863,0,0,NORMAL
486,0.0001367465,0.0006202863,0,0,NORMAL
487,0.0002626106,0.0006202863,0,0,NORMAL
488,0.0001734578,0.0006202863,0,0,NORMAL
489,0.0027348503,0.0006202863,1,0,ANOMALY
490,0.0001403822,0.0006202863,0,0,NORMAL
491,0.0001506185,0.0006202863,0,0,NORMAL
492,0.0154652120,0.0006202863,1,0,ANOMALY
493,0.0001408457,0.0006202863,0,0,NORMAL
494,0.0057773373,0.0006202863,1,0,ANOMALY
495,0.0035809919,0.0006202863,1,0,ANOMALY
496,0.0222894361,0.0006202863,1,0,ANOMALY
497,0.0055129655,0.0006202863,1,0,ANOMALY
498,0.0015827495,0.0006202863,1,0,ANOMALY
499,0.0014079044,0.0006202863,1,0,ANOMALY
500,0.0013759265,0.0006202863,1,0,ANOMALY
501,0.0017399364,0.0006202863,1,0,ANOMALY
502,0.0021452163,0.0006202863,1,0,ANOMALY
503,0.0030522766,0.0006202863,1,0,ANOMALY
504,0.0192266519,0.0006202863,1,0,ANOMALY
505,0.0043428765,0.0006202863,1,0,ANOMALY
506,0.0001524136,0.0006202863,0,0,NORMAL
507,0.0011186086,0.0006202863,1,0,ANOMALY
508,0.0001540420,0.0006202863,0,0,NORMAL
509,0.0001364245,0.0006202863,0,0,NORMAL
510,0.0037604355,0.0006202863,1,0,ANOMALY
511,0.0003084746,0.0006202863,0,0,NORMAL
512,0.0001354540,0.0006202863,0,0,NORMAL
513,0.0005183350,0.0006202863,0,0,NORMAL
514,0.0005557080,0.0006202863,0,0,NORMAL
515,0.0001786768,0.0006202863,0,0,NORMAL
516,0.0005943116,0.0006202863,0,0,NORMAL
517,0.0022459408,0.0006202863,1,0,ANOMALY
518,0.0002818462,0.0006202863,0,0,NORMAL
519,0.0022390321,0.0006202863,1,0,ANOMALY
520,0.0002837491,0.0006202863,0,0,NORMAL
521,0.0022022531,0.0006202863,1,0,ANOMALY
522,0.0002646740,0.0006202863,0,0,NORMAL
523,0.0043629025,0.0006202863,1,0,ANOMALY
524,0.0004372313,0.0006202863,0,0,NORMAL
525,0.0002854024,0.0006202863,0,0,NORMAL
526,0.0005589047,0.0006202863,0,0,NORMAL
527,0.0008958413,0.0006202863,1,0,ANOMALY
528,0.0002060643,0.0006202863,0,0,NORMAL
529,0.0014271222,0.0006202863,1,0,ANOMALY
530,0.0001481683,0.0006202863,0,0,NORMAL
531,0.0012483165,0.0006202863,1,0,ANOMALY
532,0.0016740165,0.0006202863,1,0,ANOMALY
