"id","dur","proto","service","state","spkts","dpkts","sbytes","dbytes","rate","sttl","dttl","sload","dload","sloss","dloss","sinpkt","dinpkt","sjit","djit","swin","stcpb","dtcpb","dwin","tcprtt","synack","ackdat","smean","dmean","trans_depth","response_body_len","ct_srv_src","ct_state_ttl","ct_dst_ltm","ct_src_dport_ltm","ct_dst_sport_ltm","ct_dst_src_ltm","is_ftp_login","ct_ftp_cmd","ct_flw_http_mthd","ct_src_ltm","ct_srv_dst","is_sm_ips_ports","attack_cat","label"
"24","0.000005","udp","-","INT","2","0","2058","0","200000.0051","254","0","1646400000","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","1029","0","0","0","3","2","2","2","1","3","0","0","0","2","3","0","Normal","0"
"25","0.000003","udp","-","INT","2","0","286","0","333333.3215","254","0","381333312","0","0","0","0.003","0","0","0","0","0","0","0","0","0","0","143","0","0","0","3","2","2","2","1","3","0","0","0","2","3","0","Normal","0"
"26","0.000007","udp","-","INT","2","0","1500","0","142857.1409","254","0","857142848","0","0","0","0.007","0","0","0","0","0","0","0","0","0","0","750","0","0","0","2","2","2","2","1","2","0","0","0","2","2","0","Normal","0"
"27","0.000006","udp","-","INT","2","0","902","0","166666.6608","254","0","601333312","0","0","0","0.006","0","0","0","0","0","0","0","0","0","0","451","0","0","0","2","2","2","2","1","2","0","0","0","2","2","0","Normal","0"
"28","0.000002","udp","-","INT","2","0","1626","0","500000.0013","254","0","3252000000","0","0","0","0.002","0","0","0","0","0","0","0","0","0","0","813","0","0","0","2","2","1","1","1","1","0","0","0","2","1","0","Normal","0"
"29","0.000007","udp","-","INT","2","0","364","0","142857.1409","254","0","208000000","0","0","0","0.007","0","0","0","0","0","0","0","0","0","0","182","0","0","0","3","2","1","1","1","1","0","0","0","2","2","0","Normal","0"
"30","1.434166","tcp","-","FIN","10","6","530","268","10.459041","254","252","2660.780029","1249.506714","2","1","151.243111","270.886813","10042.8699","468.508156","255","1640845588","177111456","255","0.148966","0.079731","0.069235","53","45","0","0","2","1","1","1","1","1","0","0","0","1","1","0","Normal","0"
"244","0.921987","ospf","-","INT","20","0","1280","0","20.607666","254","0","10551.125","0","0","0","48.525633","0","52.253805","0","0","0","0","0","0","0","0","64","0","0","0","1","2","1","1","1","2","0","0","0","1","1","0","Reconnaissance","1"
"245","0.921987","ospf","-","INT","20","0","1280","0","20.607666","254","0","10551.125","0","0","0","48.525633","0","52.253805","0","0","0","0","0","0","0","0","64","0","0","0","1","2","1","1","1","2","0","0","0","1","1","0","Reconnaissance","1"
"246","0.921987","ospf","-","INT","20","0","1280","0","20.607666","254","0","10551.125","0","0","0","48.525633","0","52.253805","0","0","0","0","0","0","0","0","64","0","0","0","1","2","1","1","1","2","0","0","0","1","1","0","Backdoor","1"
"247","0.921987","ospf","-","INT","20","0","1280","0","20.607666","254","0","10551.125","0","0","0","48.525633","0","52.253805","0","0","0","0","0","0","0","0","64","0","0","0","1","2","1","1","1","2","0","0","0","1","1","0","DoS","1"
"248","0.000009","sctp","-","INT","2","0","104","0","111111.1072","254","0","46222220","0","0","0","0.009","0","0","0","0","0","0","0","0","0","0","52","0","0","0","1","2","2","1","1","2","0","0","0","1","1","0","Exploits","1"
"249","0.000009","gre","-","INT","2","0","156","0","111111.1072","254","0","69333328","0","0","0","0.009","0","0","0","0","0","0","0","0","0","0","78","0","0","0","1","2","1","1","1","63","0","0","0","1","1","0","Analysis","1"
"250","0.000009","gre","-","INT","2","0","156","0","111111.1072","254","0","69333328","0","0","0","0.009","0","0","0","0","0","0","0","0","0","0","78","0","0","0","1","2","1","1","1","63","0","0","0","1","1","0","Exploits","1"
"251","0.000009","gre","-","INT","2","0","156","0","111111.1072","254","0","69333328","0","0","0","0.009","0","0","0","0","0","0","0","0","0","0","78","0","0","0","1","2","1","1","1","63","0","0","0","1","1","0","Exploits","1"
"252","0.000009","gre","-","INT","2","0","156","0","111111.1072","254","0","69333328","0","0","0","0.009","0","0","0","0","0","0","0","0","0","0","78","0","0","0","1","2","1","1","1","63","0","0","0","1","1","0","Exploits","1"
"253","0.000016","udp","-","INT","2","0","196","0","62500.00016","254","0","49000000","0","0","0","0.016","0","0","0","0","0","0","0","0","0","0","98","0","0","0","1","2","1","1","1","1","0","0","0","1","1","0","Exploits","1"
"254","0.224524","tcp","http","FIN","10","8","830","960","75.715734","62","252","26616.30664","29929.98438","2","2","24.947111","30.407428","1344.946273","54.342605","255","3306255269","327760033","255","0.055643","0.00698","0.048663","83","120","1","66","3","1","2","2","1","2","0","0","1","2","3","0","Exploits","1"
"255","0.409782","tcp","http","FIN","10","8","852","1336","41.485474","62","252","14973.81543","22821.89063","2","2","45.531333","46.374145","2261.112342","78.615164","255","110924759","1029042703","255","0.123943","0.056063","0.06788","85","167","1","235","2","1","2","2","1","3","0","0","1","2","2","0","Exploits","1"
"256","0.258515","tcp","http","FIN","10","6","1064","268","58.023712","254","252","29646.24805","6931.899414","2","1","28.723889","43.326602","1393.321027","76.355812","255","1105088469","46488383","255","0.05861","0.011825","0.046785","106","45","1","0","3","1","1","1","1","1","0","0","1","1","2","0","Exploits","1"
"257","0.674665","tcp","-","FIN","10","8","564","354","25.197692","254","252","6023.730469","3675.898438","2","1","74.962778","90.628141","5394.126729","130.206961","255","2485378508","4071225561","255","0.07321","0.039567","0.033643","56","44","0","0","2","1","1","1","1","1","0","0","0","1","1","0","Reconnaissance","1"
"258","5.600391","tcp","http","FIN","12","12","886","5236","4.106856","62","252","1161.347534","6856.664062","2","3","509.126466","505.874182","38893.67089","36169.42875","255","3330056193","2684670015","255","0.060118","0.010067","0.050051","74","436","1","2133","1","1","1","1","1","1","0","0","1","1","1","0","Exploits","1"
"259","0.285988","tcp","-","FIN","10","8","1196","992","59.443053","62","252","30127.13867","24280.73828","2","2","31.776444","37.35","1638.963244","58.916566","255","3629628996","1493336307","255","0.069484","0.012339","0.057145","120","124","1","0","1","1","1","1","1","1","0","0","1","1","1","0","Exploits","1"
"260","0.000003","udp","-","INT","2","0","168","0","333333.3215","254","0","224000000","0","0","0","0.003","0","0","0","0","0","0","0","0","0","0","84","0","0","0","1","2","1","1","1","1","0","0","0","1","1","0","Reconnaissance","1"
"261","0.663844","tcp","-","FIN","10","8","564","354","25.608426","254","252","6121.92041","3735.817627","2","1","73.760444","87.52443","5551.275568","137.155687","255","702207080","139785921","255","0.104112","0.038465","0.065647","56","44","0","0","1","1","1","1","1","1","0","0","0","1","1","0","Reconnaissance","1"
"262","0.217312","tcp","http","FIN","10","6","1148","268","69.025183","254","252","38065.08594","8246.208008","2","1","24.145778","41.354801","1254.080455","61.817492","255","1345084615","3176772983","255","0.024186","0.009806","0.01438","115","45","1","0","1","1","1","1","1","1","0","0","1","1","1","0","Reconnaissance","1"
"263","7.629429","tcp","http","FIN","202","1294","9082","1747118","195.951758","62","252","9476.987305","1830562.25","2","645","37.957358","5.882331","1929.952965","745.606365","255","946376470","4123805385","255","0.052951","0.028738","0.024213","45","1350","1","847364","1","1","1","1","1","1","0","0","1","1","1","0","Exploits","1"
"264","0.502392","tcp","http","FIN","10","8","938","354","33.838119","254","252","13455.62891","4936.384277","2","1","53.853","62.081","3382.950901","125.017484","255","212558147","1344236237","255","0.10843","0.067821","0.040609","94","44","1","0","1","1","1","1","1","1","0","0","1","2","1","0","Exploits","1"
"265","0.460161","tcp","http","FIN","12","20","908","18088","67.367726","62","252","14481.8877","298747.625","2","7","41.83282","21.012526","3014.90589","2285.089136","255","24379987","3237873338","255","0.096038","0.048439","0.047599","76","904","1","0","1","1","1","1","1","1","0","0","1","1","1","0","Exploits","1"
"266","0.000009","udp","-","INT","2","0","168","0","111111.1072","254","0","74666664","0","0","0","0.009","0","0","0","0","0","0","0","0","0","0","84","0","0","0","3","2","1","1","1","1","0","0","0","1","1","0","Reconnaissance","1"
"267","1.244202","ospf","-","INT","28","0","3024","0","21.700656","254","0","18749.36719","0","0","0","46.081555","0","57.727293","0","0","0","0","0","0","0","0","108","0","0","0","1","2","1","1","1","1","0","0","0","1","1","0","Fuzzers","1"
"268","1.244202","ospf","-","INT","28","0","3024","0","21.700656","254","0","18749.36719","0","0","0","46.081555","0","57.727293","0","0","0","0","0","0","0","0","108","0","0","0","1","2","1","1","1","1","0","0","0","1","1","0","Exploits","1"
"269","1.244202","ospf","-","INT","28","0","3024","0","21.700656","254","0","18749.36719","0","0","0","46.081555","0","57.727293","0","0","0","0","0","0","0","0","108","0","0","0","1","2","1","1","1","1","0","0","0","1","1","0","Exploits","1"
"270","1.244202","ospf","-","INT","28","0","3024","0","21.700656","254","0","18749.36719","0","0","0","46.081555","0","57.727293","0","0","0","0","0","0","0","0","108","0","0","0","1","2","1","1","1","1","0","0","0","1","1","0","Exploits","1"
"271","1.244202","ospf","-","INT","28","0","3024","0","21.700656","254","0","18749.36719","0","0","0","46.081555","0","57.727293","0","0","0","0","0","0","0","0","108","0","0","0","1","2","1","1","1","1","0","0","0","1","1","0","Exploits","1"
"272","0.289402","tcp","http","FIN","10","8","1134","1074","58.741818","254","252","28223.71484","25984.61523","2","2","32.155778","37.544145","1739.388491","71.479023","255","3606458423","514971185","255","0.076918","0.025907","0.051011","113","134","1","98","2","1","1","1","1","2","0","0","1","1","2","0","Exploits","1"
"273","0.667368","tcp","-","FIN","10","8","564","354","25.473202","254","252","6089.59375","3716.09082","2","1","74.152","93.739141","5450.195183","136.591312","255","2781332383","4013544591","255","0.016439","0.010495","0.005944","56","44","0","0","1","1","1","1","1","1","0","0","0","3","1","0","Reconnaissance","1"
